date_gregorian,date_jalali,year_jalali,month_jalali,series_id,value,unit,source,year_gregorian,indicator_code,country_iso3,description,ilo_source
2006-01-01,,1385,,participation_rate_irn,44.569,percent of working-age population,ILOSTAT (rplumber.ilo.org),2006,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2007-01-01,,1386,,participation_rate_irn,43.659,percent of working-age population,ILOSTAT (rplumber.ilo.org),2007,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2008-01-01,,1387,,participation_rate_irn,41.441,percent of working-age population,ILOSTAT (rplumber.ilo.org),2008,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2009-01-01,,1388,,participation_rate_irn,42.369,percent of working-age population,ILOSTAT (rplumber.ilo.org),2009,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2010-01-01,,1389,,participation_rate_irn,41.595,percent of working-age population,ILOSTAT (rplumber.ilo.org),2010,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2011-01-01,,1390,,participation_rate_irn,39.988,percent of working-age population,ILOSTAT (rplumber.ilo.org),2011,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2012-01-01,,1391,,participation_rate_irn,40.559,percent of working-age population,ILOSTAT (rplumber.ilo.org),2012,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2013-01-01,,1392,,participation_rate_irn,40.538,percent of working-age population,ILOSTAT (rplumber.ilo.org),2013,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2014-01-01,,1393,,participation_rate_irn,40.227,percent of working-age population,ILOSTAT (rplumber.ilo.org),2014,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2015-01-01,,1394,,participation_rate_irn,41.354,percent of working-age population,ILOSTAT (rplumber.ilo.org),2015,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2016-01-01,,1395,,participation_rate_irn,42.586,percent of working-age population,ILOSTAT (rplumber.ilo.org),2016,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2017-01-01,,1396,,participation_rate_irn,43.735,percent of working-age population,ILOSTAT (rplumber.ilo.org),2017,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2018-01-01,,1397,,participation_rate_irn,44.025,percent of working-age population,ILOSTAT (rplumber.ilo.org),2018,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2019-01-01,,1398,,participation_rate_irn,43.693,percent of working-age population,ILOSTAT (rplumber.ilo.org),2019,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2020-01-01,,1399,,participation_rate_irn,40.949,percent of working-age population,ILOSTAT (rplumber.ilo.org),2020,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2021-01-01,,1400,,participation_rate_irn,40.574,percent of working-age population,ILOSTAT (rplumber.ilo.org),2021,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
2022-01-01,,1401,,participation_rate_irn,40.534,percent of working-age population,ILOSTAT (rplumber.ilo.org),2022,EAP_DWAP_SEX_AGE_RT_A,IRN,Labour force participation rate (LFS),BA:675
